serie,group,ID,original,T_low_gain,T_high_gain,quiescent_current,voltage_gain,cutoff_frequency,current_slope,T150_aging
1.0,NSMG,NSMG19,True,33.5,72.0,4.81314,27.06928506834556,612.0735397405901,8.927823373876526e-05,0.0
1.0,MAN,MAN20,True,33.0,70.1,5.690957326442003,26.952189038513986,493.470050190929,9.04963183842758e-05,0.0
1.0,DKAN,DKAN20,True,32.6,71.2,4.935035202652216,26.95752217931521,538.6463071673334,0.000105261652657,0.0
1.0,TIS,TIS37,False,34.8,86.3,4.246359999999999,27.42894710839,471.8751580956296,5.321499735589929e-05,0.0
1.0,TIS,TIS39,False,34.2,89.4,4.660240000000001,27.46492439620551,503.02005161900576,6.322654680063753e-05,0.0
1.0,TIS,TIS40,False,34.5,90.6,4.48256,27.44854829943292,473.013261871963,5.025030142781861e-05,0.0
1.0,NSS,NSS37,False,33.6,82.9,3.63408,26.189712933419155,1594.2230226962995,8.190831306187403e-05,0.0
1.0,NSS,NSS38,False,33.8,84.2,3.672200000000001,26.17528431246368,1605.9470679269389,8.173682707562341e-05,0.0
1.0,NSS,NSS40,False,34.3,83.5,3.72214,26.20081191890249,1478.512288916034,8.172719196192716e-05,0.0
1.0,UTC,UTC17,False,31.8,70.3,4.570399224758151,26.812803757195628,587.0948231321039,7.043016029375361e-05,0.0
1.0,UTC,UTC18,False,32.0,70.9,4.55829715356231,26.818777577314258,583.4709486072308,6.968414032706956e-05,0.0
1.0,UTC,UTC19,False,31.9,69.9,4.605126008391377,26.8148263502822,573.8363866629046,6.891701548763932e-05,0.0
2.0,TIS,TIS03,False,36.8,90.4,4.58248,27.54508532197436,508.0776959695822,3.0286176626127147e-05,0.0
2.0,NSMS,NSMS06,True,35.2,71.3,4.781067185103892,26.93032592830444,567.2530131251937,0.0001049660544671,0.0
2.0,NSS,NSS16,False,37.0,85.4,3.54568,26.212499809189268,1539.318705482387,8.325300898995435e-05,0.0
2.0,UTC,UTC20,False,33.5,72.5,4.58691567182541,26.819615134905007,583.7375859507548,6.958438193850349e-05,0.0
2.0,TIS,TIS04,False,36.7,92.7,4.6408000000000005,27.439593214976384,507.0249134431778,4.326771020624312e-05,0.0
2.0,NSMS,NSMS07,True,35.2,70.5,4.865977913141251,26.86834324180516,560.567993395268,0.0001034064103156,0.0
2.0,NSS,NSS17,False,36.5,83.4,3.5609,26.18629026646856,1556.179406221189,8.328346906398929e-05,0.0
2.0,UTC,UTC21,False,34.7,75.6,4.604706261307002,26.87035538131316,585.9959798010515,7.008006643565264e-05,0.0
2.0,TIS,TIS05,False,37.6,89.2,4.47776,27.359445028547565,492.9300334331298,6.969628767847992e-05,0.0
2.0,NSMS,NSMS08,True,35.5,73.5,4.72930381074548,27.014631505580592,562.0472562933827,0.0001041770592087,0.0
